Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,0.337559,0.397135,0.328290,0.392987,0.392987,10123343703
2021-05-02,0.391087,0.400029,0.364874,0.376046,0.376046,8040406918
2021-05-03,0.373631,0.445567,0.373631,0.441707,0.441707,10526649978
2021-05-04,0.440274,0.605998,0.400800,0.541334,0.541334,38238126181
2021-05-05,0.537355,0.695262,0.523822,0.657633,0.657633,42525098292
2021-05-06,0.652842,0.663616,0.545102,0.580804,0.580804,18989900291
2021-05-07,0.581110,0.731972,0.520174,0.684777,0.684777,28615083657
2021-05-08,0.687801,0.737567,0.608168,0.636439,0.636439,25555125135
2021-05-09,0.635820,0.697625,0.425706,0.570070,0.570070,46138063928
2021-05-10,0.569687,0.569687,0.421291,0.449964,0.449964,16514521828
2021-05-11,0.450488,0.546651,0.445034,0.495231,0.495231,14566975476
2021-05-12,0.493742,0.519975,0.385376,0.385376,0.385376,8621337859
2021-05-13,0.392176,0.519461,0.357175,0.490374,0.490374,18663174069
2021-05-14,0.487070,0.589690,0.464622,0.559604,0.559604,20466177002
2021-05-15,0.559668,0.562676,0.491299,0.507972,0.507972,9836892944
2021-05-16,0.507910,0.548145,0.451023,0.514895,0.514895,9541552064
2021-05-17,0.513413,0.515221,0.458551,0.487892,0.487892,7330830504
2021-05-18,0.486954,0.515599,0.470384,0.476115,0.476115,4802902841
2021-05-19,0.476435,0.684735,0.218267,0.333123,0.333123,15072620946
2021-05-20,0.330252,0.433192,0.296253,0.400194,0.400194,12415484460
2021-05-21,0.398124,0.411975,0.314766,0.359382,0.359382,7452862203
2021-05-22,0.358717,0.360517,0.318169,0.342371,0.342371,5243222352
2021-05-23,0.342522,0.350863,0.249437,0.308071,0.308071,7143545371
2021-05-24,0.306715,0.371485,0.296291,0.366162,0.366162,6821088755
2021-05-25,0.366041,0.380010,0.323497,0.346302,0.346302,5544552739
2021-05-26,0.346396,0.365920,0.338857,0.353693,0.353693,3355793260
2021-05-27,0.353463,0.353463,0.328144,0.332945,0.332945,2485942309
2021-05-28,0.333651,0.347879,0.301518,0.311205,0.311205,3289455640
2021-05-29,0.311398,0.317919,0.281793,0.303110,0.303110,2470710737
2021-05-30,0.302969,0.310324,0.287680,0.302224,0.302224,1929947933
2021-05-31,0.301949,0.329163,0.294330,0.325810,0.325810,2440829325
2021-06-01,0.325744,0.383079,0.312360,0.370077,0.370077,5796031087
2021-06-02,0.370302,0.444590,0.352588,0.423374,0.423374,11425588479
2021-06-03,0.423739,0.440763,0.378819,0.399963,0.399963,6809900030
2021-06-04,0.400982,0.400982,0.351442,0.376323,0.376323,5889983048
2021-06-05,0.376752,0.393886,0.360488,0.372177,0.372177,3464039041
2021-06-06,0.371676,0.376798,0.367254,0.371807,0.371807,1836611411
2021-06-07,0.371566,0.379678,0.329806,0.331050,0.331050,3043974994
2021-06-08,0.331822,0.341435,0.296660,0.327687,0.327687,3918487504
2021-06-09,0.326423,0.353762,0.313131,0.343331,0.343331,3154332929
2021-06-10,0.343339,0.344529,0.323278,0.326351,0.326351,2114010549
2021-06-11,0.326364,0.333223,0.311502,0.319359,0.319359,1834446577
2021-06-12,0.318893,0.319332,0.301804,0.312084,0.312084,1605633791
2021-06-13,0.312485,0.330026,0.307892,0.324382,0.324382,1484851447
2021-06-14,0.323903,0.336927,0.320087,0.332085,0.332085,1613812023
2021-06-15,0.326785,0.330495,0.316976,0.328381,0.328381,1687965230
2021-06-16,0.320378,0.321393,0.305485,0.307761,0.307761,1391720788
2021-06-17,0.307749,0.314011,0.303316,0.306496,0.306496,1120766442
2021-06-18,0.306428,0.307752,0.280481,0.293472,0.293472,1846213589
2021-06-19,0.293649,0.297803,0.286189,0.287356,0.287356,1003248258
2021-06-20,0.286394,0.289727,0.256467,0.280900,0.280900,1963503800
2021-06-21,0.280660,0.280889,0.166491,0.178691,0.178691,5640232167
2021-06-22,0.178682,0.216122,0.164654,0.191031,0.191031,5992850344
2021-06-23,0.190671,0.247110,0.180979,0.232174,0.232174,5098674891
2021-06-24,0.234970,0.268690,0.222527,0.262782,0.262782,3844648059
2021-06-25,0.263480,0.289145,0.230006,0.239153,0.239153,5542163262
2021-06-26,0.237673,0.255127,0.230972,0.244784,0.244784,2649457302
2021-06-27,0.246045,0.266891,0.240894,0.264450,0.264450,2167521670
2021-06-28,0.264918,0.266982,0.250762,0.256857,0.256857,1932994784
2021-06-29,0.257061,0.274940,0.252988,0.262769,0.262769,2192562738
2021-06-30,0.263417,0.263538,0.238268,0.254215,0.254215,2047763830
2021-07-01,0.253828,0.260092,0.238677,0.244549,0.244549,2463946548
2021-07-02,0.243982,0.247997,0.238848,0.245264,0.245264,1321470954
2021-07-03,0.245106,0.250214,0.242454,0.246411,0.246411,917015819
2021-07-04,0.246425,0.252567,0.243425,0.246483,0.246483,973511519
2021-07-05,0.246419,0.246419,0.227838,0.231614,0.231614,1267949362
2021-07-06,0.231216,0.241910,0.229842,0.234422,0.234422,1265920169
2021-07-07,0.234301,0.237851,0.222576,0.224126,0.224126,1148903688
2021-07-08,0.224383,0.224930,0.202987,0.207597,0.207597,1789637577
2021-07-09,0.207073,0.229139,0.196607,0.219864,0.219864,3045790264
2021-07-10,0.219846,0.227681,0.210745,0.213920,0.213920,1264519098
2021-07-11,0.213887,0.218745,0.210931,0.215856,0.215856,719870047
2021-07-12,0.216010,0.218965,0.204506,0.208048,0.208048,973602708
2021-07-13,0.208009,0.208062,0.198163,0.200003,0.200003,1035890377
2021-07-14,0.199978,0.204483,0.187752,0.197324,0.197324,1319171299
2021-07-15,0.197749,0.200840,0.180786,0.184888,0.184888,1044558931
2021-07-16,0.185238,0.188322,0.171612,0.172345,0.172345,1144730187
2021-07-17,0.172118,0.204937,0.169230,0.186125,0.186125,2393120423
2021-07-18,0.186841,0.195788,0.180886,0.182233,0.182233,1424484163
2021-07-19,0.181818,0.183950,0.170712,0.173556,0.173556,1084816777
2021-07-20,0.173763,0.178895,0.160728,0.170801,0.170801,1809479230
2021-07-21,0.170527,0.214210,0.168719,0.190349,0.190349,4433688120
2021-07-22,0.190480,0.196404,0.186664,0.191303,0.191303,1629442360
2021-07-23,0.191359,0.199531,0.183540,0.194764,0.194764,1447257649
2021-07-24,0.194823,0.204369,0.191344,0.197319,0.197319,1695867808
2021-07-25,0.197173,0.200451,0.191697,0.197864,0.197864,1256116971
2021-07-26,0.198030,0.232767,0.197063,0.204419,0.204419,4863225852
2021-07-27,0.203836,0.209293,0.195350,0.205899,0.205899,2229903212
2021-07-28,0.206111,0.213746,0.202011,0.205392,0.205392,2076707890
2021-07-29,0.205591,0.206355,0.200716,0.204619,0.204619,1169322798
2021-07-30,0.205023,0.210643,0.196535,0.208821,0.208821,1523981522
2021-07-31,0.208638,0.214345,0.204897,0.208314,0.208314,1349212924
2021-08-01,0.207753,0.217611,0.201389,0.204437,0.204437,1711494501
2021-08-02,0.204279,0.209959,0.202188,0.203600,0.203600,1181469976
2021-08-03,0.203431,0.205077,0.193750,0.195967,0.195967,1121632377
2021-08-04,0.196312,0.203110,0.194450,0.201490,0.201490,1095300718
2021-08-05,0.201575,0.202513,0.194685,0.200974,0.200974,1139204754
2021-08-06,0.200960,0.211756,0.198617,0.204688,0.204688,1332579279
2021-08-07,0.204846,0.261990,0.203772,0.260341,0.260341,6343062404
2021-08-08,0.261956,0.281379,0.235348,0.240045,0.240045,6984782653
2021-08-09,0.240122,0.266265,0.231410,0.256897,0.256897,4607903346
2021-08-10,0.256366,0.262791,0.245352,0.257325,0.257325,3424415504
2021-08-11,0.257424,0.282482,0.256382,0.265263,0.265263,4732068476
2021-08-12,0.264853,0.294142,0.252775,0.263921,0.263921,5264857508
2021-08-13,0.264249,0.287188,0.261907,0.286808,0.286808,3565092106
2021-08-14,0.286801,0.298456,0.277154,0.293113,0.293113,4677579997
2021-08-15,0.294086,0.348722,0.287063,0.341441,0.341441,8046171669
2021-08-16,0.340165,0.350953,0.310828,0.320715,0.320715,6681324187
2021-08-17,0.319631,0.339462,0.295763,0.299442,0.299442,5699700481
2021-08-18,0.299203,0.324227,0.282016,0.303739,0.303739,6347995770
2021-08-19,0.303376,0.319018,0.294088,0.317144,0.317144,3760495939
2021-08-20,null,null,null,null,null,null
